parking_id,parking_lat,parking_lng,parking_affiliation
1,2,50.9304389954,6.9272017479,1
2,3,50.928981781,6.9281888008,1
3,4,50.9282035828,6.9338536263,1
4,5,50.9276542664,6.9338536263,1
5,6,50.9273300171,6.9350123405,1
6,7,50.927116394,6.9375977516,1
7,8,50.9272003174,6.9274611473,1
8,9,50.9237327576,6.9335103035,1
9,10,50.9232139587,6.9342989922,1
10,11,50.9228286743,6.9340167046,1
11,12,50.9224319458,6.9326090813,0
12,13,50.9235305786,6.9324159622,0
13,14,50.9245452881,6.9313807487,1
14,15,50.9229660034,6.9163980484,2
15,16,50.9234466553,6.9196915627,2
16,17,50.9242858887,6.9229316711,2
17,18,50.9247283936,6.9233875275,2
18,19,50.9248695374,6.9260430336,1
19,20,50.9249687195,6.9273090363,0
20,21,50.9274291992,6.9233627319,1
21,22,50.9253120422,6.9279260635,1
22,23,50.9267883301,6.9249806404,1
23,24,50.9275054932,6.9244661331,0
24,25,50.9312667847,6.9212732315,1
25,26,50.9273719788,6.9224863052,1
26,27,50.9265785217,6.9212203026,1
27,28,50.9277114868,6.9211025238,1
28,29,50.927898407,6.9228510857,1
29,30,50.9286231995,6.9248199463,1
30,31,50.9283294678,6.9260644913,1
31,32,50.9340705872,6.9229426384,1
32,33,50.9340515137,6.9219017029,0
33,34,50.9348907471,6.9201207161,1
34,35,50.9336051941,6.9193105698,0
35,36,50.932849884,6.9195241928,0
36,37,50.9329032898,6.9201421738,1
37,38,50.9332771301,6.921391964,0
38,39,50.9253425598,6.925632,1
39,40,50.9253425598,6.925632,1
40,41,50.9290618896,6.9244351387,1
41,42,50.9290618896,6.9244351387,1
42,43,50.9278068542,6.9240903854,1
43,44,50.9360923767,6.9230175018,1
44,45,50.9291572571,6.9273948669,1
45,46,50.9262619019,6.930141449,1
46,47,50.9286079407,6.9268422127,0
47,48,50.9350547791,6.9136772156,1
48,49,50.9337882996,6.9138379097,1
